trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
918,False,"{'a': 0.5, 'e': 0.010102220780978836}",25,13,21.11345475080558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
919,False,"{'a': 0.5, 'e': 0.010051835744633579}",25,17,13.850996895084977,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
920,False,"{'a': 0.5, 'e': 0.01000170200470548}",20,16,9.033006481503115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
921,False,"{'a': 0.5, 'e': 0.009951818307848422}",25,17,15.931563616972317,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
922,False,"{'a': 0.5, 'e': 0.009902183406967384}",20,13,12.499463537197384,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
923,False,"{'a': 0.5, 'e': 0.009852796061187259}",20,6,26.344886781593114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
924,False,"{'a': 0.5, 'e': 0.009803655035821831}",25,16,16.718810086516093,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
925,False,"{'a': 0.5, 'e': 0.009754759102342905}",20,8,24.842362299536543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,False,"{'a': 0.5, 'e': 0.0097061070383496}",20,10,22.475690699132688,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
927,False,"{'a': 0.5, 'e': 0.00965769762753778}",25,3,40.94532873999693,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.5, 'e': 0.009609529659669644}",25,7,34.36496678931356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
929,False,"{'a': 0.5, 'e': 0.009561601930543506}",25,8,34.98004784056326,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.5, 'e': 0.009513913241963634}",20,15,10.912528947576313,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.5, 'e': 0.009466462401710325}",25,18,16.836405411680936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.5, 'e': 0.009419248223510106}",25,10,26.363887478834275,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
933,False,"{'a': 0.5, 'e': 0.00937226952700606}",25,13,22.803177207092784,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.5, 'e': 0.009325525137728328}",25,12,8.590862490375894,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
935,False,"{'a': 0.5, 'e': 0.009279013887064745}",30,18,25.74227318029921,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
936,False,"{'a': 0.5, 'e': 0.009232734612231614}",25,16,15.767900116460394,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
937,False,"{'a': 0.5, 'e': 0.009186686156244666}",20,12,15.307565371622267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
938,False,"{'a': 0.5, 'e': 0.0091408673678901}",30,14,16.88571805629198,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
939,False,"{'a': 0.5, 'e': 0.009095277101695817}",30,24,9.47715793582431,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
